Tablica	MergeSort-Porownania	MergeSort-Przestawienia	MergeSort-Czas	MergeSort-c/n	MergeSort-s/n	QuickSort-Porownania	QuickSort-Przestawienia	QuickSort-Czas	QuickSort-c/n	QuickSort-s/n	Dual-pivotQuickSort-Porownania	Dual-pivotQuickSort-Przestawienia	Dual-pivotQuickSort-Czas	Dual-pivotQuickSort-c/n	Dual-pivotQuickSort-s/n	Hybrid-Porownania	Hybrid-Przestawienia	Hybrid-Czas	Hybrid-c/n	Hybrid-s/n
1	0	0	0	0	0	0	1	0	0	1	1	4	0	1	4	0	0	0	0	0
2	1	2	0	0	1	1	1	0	0	0	1	4	0	0	2	3	10	0	1	5
3	3	5	0	1	1	2	2	0	0	0	4	8	0	1	2	4	11	0	1	3
4	4	8	0	1	2	4	2	0	1	0	6	8	0	1	2	4	12	0	1	3
5	7	12	0	1	2	7	4	0	1	0	8	13	0	1	2	9	17	0	1	3
6	10	16	0	1	2	4	6	0	0	1	10	16	0	1	2	12	23	0	2	3
7	13	20	0	1	2	9	6	0	1	0	12	22	0	1	3	12	26	0	1	3
8	17	24	0	2	3	14	7	0	1	0	22	23	0	2	2	17	31	0	2	3
9	21	29	0	2	3	15	8	0	1	0	18	25	0	2	2	21	36	0	2	4
10	24	34	0	2	3	15	11	0	1	1	24	28	0	2	2	27	37	0	2	3
11	27	39	0	2	3	21	12	0	1	1	27	39	0	2	3	26	39	0	2	3
12	29	44	0	2	3	29	14	0	2	1	34	40	0	2	3	33	43	0	2	3
13	30	49	0	2	3	26	15	0	2	1	36	42	0	2	3	38	50	0	2	3
14	38	54	0	2	3	26	16	0	1	1	42	50	0	3	3	39	57	0	2	4
15	44	59	0	2	3	20	20	0	1	1	48	43	0	3	2	48	61	0	3	4
16	45	64	0	2	4	51	17	0	3	1	54	65	0	3	4	51	62	0	3	3
17	54	70	0	3	4	32	19	0	1	1	77	59	0	4	3	50	62	0	2	3
18	55	76	0	3	4	55	23	0	3	1	56	67	0	3	3	70	68	0	3	3
19	63	82	0	3	4	69	25	0	3	1	70	62	0	3	3	62	72	0	3	3
20	63	88	0	3	4	35	27	0	1	1	67	68	0	3	3	69	82	0	3	4
21	71	94	0	3	4	42	28	0	2	1	90	69	0	4	3	73	95	0	3	4
22	73	100	0	3	4	59	28	0	2	1	86	64	0	3	2	84	78	0	3	3
23	77	106	0	3	4	76	28	0	3	1	90	80	0	3	3	94	100	0	4	4
24	82	112	0	3	4	50	35	0	2	1	83	77	0	3	3	85	106	0	3	4
25	87	118	0	3	4	50	36	0	2	1	89	85	0	3	3	95	111	0	3	4
26	93	124	0	3	4	85	36	0	3	1	96	101	0	3	3	97	114	0	3	4
27	94	130	0	3	4	79	37	0	2	1	125	109	0	4	4	114	126	0	4	4
28	102	136	0	3	4	74	37	0	2	1	130	95	0	4	3	115	119	0	4	4
29	107	142	0	3	4	66	41	0	2	1	129	103	0	4	3	117	131	0	4	4
30	109	148	0	3	4	66	49	0	2	1	136	118	0	4	3	119	123	0	3	4
31	116	154	0	3	4	72	48	0	2	1	162	137	0	5	4	127	125	0	4	4
32	126	160	0	3	5	78	42	0	2	1	147	135	0	4	4	127	144	0	3	4
33	133	167	0	4	5	99	47	0	3	1	145	145	0.015	4	4	146	140	0	4	4
34	130	174	0	3	5	95	51	0	2	1	133	137	0	3	4	137	137	0	4	4
35	139	181	0	3	5	120	49	0	3	1	156	133	0	4	3	153	148	0	4	4
36	136	188	0	3	5	112	55	0	3	1	146	149	0	4	4	140	178	0	3	4
37	141	195	0	3	5	98	56	0	2	1	158	132	0	4	3	158	167	0	4	4
38	148	202	0	3	5	109	56	0	2	1	157	147	0	4	3	163	173	0	4	4
39	159	209	0	4	5	110	58	0	2	1	174	146	0	4	3	176	164	0	4	4
40	161	216	0	4	5	113	61	0	2	1	176	162	0	4	4	171	179	0	4	4
41	177	223	0	4	5	165	63	0	4	1	177	167	0	4	4	182	183	0	4	4
42	179	230	0	4	5	116	61	0	2	1	181	163	0	4	3	188	191	0	4	4
43	180	237	0	4	5	114	63	0	2	1	226	182	0	5	4	190	202	0	4	4
44	186	244	0	4	5	114	69	0	2	1	191	199	0	4	4	210	198	0	4	4
45	197	251	0	4	5	140	75	0	3	1	218	211	0	4	4	220	202	0	4	4
46	196	258	0	4	5	142	73	0	3	1	215	156	0	4	3	213	214	0	4	4
47	201	265	0	4	5	149	78	0	3	1	217	205	0	4	4	208	211	0	4	4
48	207	272	0	4	5	152	75	0	3	1	227	192	0	4	4	235	232	0	4	4
49	214	279	0	4	5	227	69	0	4	1	243	210	0	4	4	236	221	0	4	4
50	220	286	0	4	5	235	76	0	4	1	255	239	0	5	4	238	239	0	4	4
51	224	293	0	4	5	209	78	0	4	1	243	227	0	4	4	246	256	0	4	5
52	233	300	0	4	5	217	86	0	4	1	272	212	0	5	4	251	245	0	4	4
53	233	307	0	4	5	256	77	0	4	1	237	196	0	4	3	286	263	0	5	4
54	249	314	0	4	5	192	90	0	3	1	256	193	0	4	3	256	240	0	4	4
55	253	321	0	4	5	184	91	0	3	1	272	255	0	4	4	272	265	0	4	4
56	257	328	0	4	5	207	86	0	3	1	301	209	0	5	3	277	277	0	4	4
57	263	335	0	4	5	159	99	0	2	1	312	274	0	5	4	274	271	0	4	4
58	269	342	0	4	5	228	92	0	3	1	313	263	0	5	4	296	261	0	5	4
59	268	349	0	4	5	220	99	0	3	1	301	241	0	5	4	298	286	0	5	4
60	287	356	0	4	5	269	98	0	4	1	358	306	0	5	5	341	324	0	5	5
